State,State_code
Maharashtra,MH
Delhi,DL
Gujarat,GJ
Rajasthan,RJ
Tamil Nadu,TN
Madhya Pradesh,MP
Uttar Pradesh,UP
Telangana,TG
Andhra Pradesh,AP
Karnataka,KA
Kerala,KL
Jammu and Kashmir,JK
West Bengal,WB
Haryana,HR
Punjab,PB
Bihar,BR
Odisha,OR
Uttarakhand,UT
Jharkhand,JH
Himachal Pradesh,HP
Chhattisgarh,CT
Assam,AS
Chandigarh,CH
Ladakh,LA
Andaman and Nicobar Islands,AN
Meghalaya,ML
Goa,GA
Puducherry,PY
Manipur,MN
Tripura,TR
Mizoram,MZ
Arunachal Pradesh,AR
Nagaland,NL
Dadra and Nagar Haveli,DN
Daman and Diu,DD
Lakshadweep,LD
Sikkim,SK
India,TT
